energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'90'	'95'	'100'
2.505050505050505	0.10386	0.10814	0.11793	0.12588	0.14531	0.19341	0.22486	0.25165	0.33101	0.3727	0.44124	0.52711	0.49633	0.55098
2.5	0.10388	0.10845	0.11717	0.12641	0.14558	0.19341	0.22526	0.25221	0.331	0.37579	0.44262	0.5305299999999999	0.49877	0.5553
2.494969818913481	0.10672	0.11023	0.1192	0.12862	0.14778	0.19591	0.22821	0.2564	0.336	0.37993	0.44801	0.53523	0.50479	0.55872
2.48995983935743	0.1068	0.11119	0.11884	0.12937	0.1487	0.19737	0.23023	0.25866	0.3379	0.38268	0.45131	0.53834	0.50841	0.56362
2.484969939879759	0.10871	0.11268	0.12138	0.13123	0.15026	0.19982	0.2318	0.26074	0.3409	0.38542	0.45629	0.54373	0.5127	0.56858
2.48	0.1097	0.11396	0.12159	0.132	0.15239	0.20201	0.23392	0.26239	0.34363	0.38805	0.45972	0.54878	0.51669	0.5738
2.475049900199601	0.1105	0.11473	0.1237	0.13317	0.15363	0.20393	0.23609	0.26505	0.3465	0.39175	0.46237	0.55266	0.52111	0.5773200000000001
2.470119521912351	0.11096	0.1157	0.12381	0.13456	0.15307	0.20534	0.23699	0.26585	0.34865	0.39427	0.46653	0.55622	0.52454	0.58184
2.46520874751491	0.11316	0.11766	0.12428	0.13663	0.15654	0.20764	0.24042	0.26876	0.35085	0.39746	0.47129	0.56067	0.52901	0.58661
2.46031746031746	0.11626	0.11992	0.12722	0.13913	0.15875	0.21101	0.24413	0.27236	0.3556	0.40287	0.47586	0.56728	0.53469	0.59151
2.455445544554455	0.1163	0.11954	0.12758	0.13874	0.1583	0.21148	0.2442	0.27379	0.35804	0.40512	0.47841	0.57106	0.53807	0.5966
2.450592885375494	0.11944	0.12161	0.13003	0.14132	0.16147	0.21422	0.24673	0.27746	0.36091	0.40903	0.48401	0.57458	0.54409	0.60158
2.445759368836292	0.12022	0.12368	0.13089	0.14161	0.1639	0.21594	0.24863	0.27854	0.36276	0.4107	0.48607	0.57921	0.54745	0.60381
2.440944881889764	0.1227	0.12579	0.13282	0.14412	0.16511	0.21846	0.25148	0.28184	0.36635	0.41503	0.49179	0.58355	0.55171	0.60948
2.43614931237721	0.12594	0.12878	0.13402	0.14679	0.16799	0.22156	0.25395	0.28426	0.36994	0.41911	0.49588	0.5902500000000001	0.55628	0.61337
2.431372549019608	0.12783	0.13003	0.13706	0.14767	0.16876	0.22426	0.25595	0.28614	0.37189	0.42069	0.49939	0.59344	0.55867	0.61639
2.426614481409002	0.12962	0.13233	0.13813	0.14927	0.1722	0.22511	0.2574	0.28777	0.37458	0.42425	0.50223	0.59742	0.56366	0.62219
2.421875	0.13148	0.13397	0.13886	0.151	0.17193	0.22633	0.25997	0.28984	0.37719	0.42628	0.50553	0.59902	0.56698	0.62599
2.417153996101364	0.13363	0.13647	0.14152	0.15405	0.17501	0.22906	0.26191	0.29268	0.37973	0.42987	0.5097	0.60285	0.5710499999999999	0.62983
2.412451361867704	0.1369	0.13737	0.14236	0.15451	0.17556	0.23124	0.2631	0.29316	0.38185	0.43098	0.51059	0.60638	0.574	0.63337
2.407766990291262	0.14033	0.14017	0.14517	0.15662	0.17861	0.23289	0.26691	0.29642	0.38441	0.43489	0.51411	0.60971	0.5773200000000001	0.63539
2.403100775193798	0.14036	0.14137	0.14616	0.1585	0.17981	0.23529	0.26701	0.29794	0.38476	0.43697	0.5164299999999999	0.61271	0.5794	0.63967
2.398452611218568	0.14394	0.14363	0.14748	0.16045	0.18125	0.2382	0.26944	0.29887	0.38759	0.4387	0.52006	0.61574	0.58153	0.64063
2.393822393822394	0.14775	0.14648	0.15174	0.16315	0.18442	0.24025	0.27166	0.30285	0.38955	0.44153	0.52297	0.61775	0.58527	0.64413
2.389210019267823	0.15012	0.14739	0.15254	0.16387	0.18614	0.2418	0.27282	0.30264	0.39171	0.44381	0.52384	0.6198900000000001	0.58635	0.64655
2.384615384615385	0.15287	0.15047	0.15331	0.16568	0.18826	0.24309	0.27345	0.30402	0.39381	0.44411	0.52524	0.62088	0.5883699999999999	0.64589
2.380038387715931	0.15657	0.15421	0.15689	0.16847	0.19151	0.24565	0.27684	0.30658	0.39367	0.44599	0.5276	0.62199	0.58953	0.64803
2.375478927203065	0.15918	0.15617	0.15836	0.16893	0.19257	0.24625	0.27734	0.30667	0.39666	0.44721	0.52934	0.62387	0.59057	0.64935
